StoreID,Month,NumberOfSales
1000,3,186572.73333333328
1000,4,182455.64761904764
1001,3,56467.283333333326
1001,4,79851.26333333334
1002,3,122330.5538095238
1002,4,112866.12833333333
1003,3,128141.50166666663
1003,4,119781.30833333336
1004,3,96574.07011904762
1004,4,93616.26642857143
1005,3,114230.64499999996
1005,4,112324.95499999999
1006,3,158860.49999999997
1006,4,147414.3616666667
1007,3,93540.7669047619
1007,4,88942.66714285717
1008,3,155309.91666666672
1008,4,134034.29333333333
1009,3,127542.33999999998
1009,4,120026.1
1010,3,142346.25
1010,4,135267.43333333332
1011,3,67352.98
1011,4,66100.89833333332
1012,3,157958.97333333333
1012,4,153638.465
1013,3,123188.795
1013,4,113396.28333333333
1014,3,118943.21
1014,4,109701.29666666663
1015,3,138965.58166666667
1015,4,129158.71666666666
1016,3,91248.45
1016,4,82649.67333333332
1017,3,75311.35333333335
1017,4,73078.53333333335
1018,3,88384.21666666666
1018,4,89316.55833333332
1019,3,107707.81000000001
1019,4,103243.53333333335
1020,3,154564.55333333332
1020,4,134815.44999999998
1021,3,138416.255
1021,4,127241.27142857143
1022,3,132995.4838095238
1022,4,124529.99166666668
1023,3,89450.49583333332
1023,4,84557.86666666668
1024,3,106481.16333333332
1024,4,100248.80000000002
1025,3,117273.76666666666
1025,4,111002.345
1026,3,116254.23666666665
1026,4,107183.24166666667
1027,3,77363.73499999999
1027,4,71757.44333333334
1028,3,139747.62
1028,4,133312.93666666665
1029,3,150169.06666666668
1029,4,125059.375
1030,3,128658.80166666667
1030,4,111589.73999999998
1031,3,92921.90976190474
1031,4,87133.78214285715
1032,3,115807.66666666667
1032,4,109808.45000000001
1033,3,150352.9583333334
1033,4,139757.375
1034,3,88797.27595238095
1034,4,87475.89166666668
1035,3,139434.17523809525
1035,4,136929.26666666666
1036,3,120333.77500000001
1036,4,111318.94
1037,3,197213.76666666666
1037,4,179868.68
1038,3,154938.6133333333
1038,4,139237.87333333332
1039,3,142938.62666666668
1039,4,128582.42500000002
1040,3,100418.27500000001
1040,4,93301.70166666668
1041,3,90356.34999999999
1041,4,82883.60833333335
1042,3,88581.81666666667
1042,4,79099.93666666666
1043,3,110999.42499999999
1043,4,103989.63333333332
1044,3,103228.97333333333
1044,4,94389.18833333332
1045,3,124919.03166666665
1045,4,116145.97476190477
1046,3,143373.43333333338
1046,4,140910.7583333333
1047,3,137262.97333333333
1047,4,131279.3
1048,3,144791.43333333332
1048,4,123628.12499999999
1049,3,144154.67500000002
1049,4,113375.73333333335
1050,3,169012.59500000003
1050,4,160187.41666666672
1051,3,108141.6014285714
1051,4,94715.21666666667
1052,3,98326.67166666668
1052,4,93831.03333333333
1053,3,160216.77333333332
1053,4,143361.26666666666
1054,3,106748.11833333335
1054,4,101616.10000000002
1055,3,88701.41666666666
1055,4,82384.03333333335
1056,3,74389.79583333335
1056,4,73861.50166666666
1057,3,299401.72833333333
1057,4,284148.43333333335
1058,3,84491.56
1058,4,77573.025
1059,3,93442.765
1059,4,88712.78166666668
1060,3,91568.5276190476
1060,4,85089.69833333333
1061,3,204235.27500000002
1061,4,190793.40500000003
1062,3,117055.00142857144
1062,4,111885.60833333334
1063,3,63588.1
1063,4,58456.44404761906
1064,3,136848.93666666668
1064,4,128069.93333333333
1065,3,133405.26666666666
1065,4,129289.31666666667
1066,3,185634.87
1066,4,170698.87333333332
1067,3,97927.495
1067,4,86957.45833333333
1068,3,133217.27333333335
1068,4,132631.08333333334
1069,3,114838.57666666668
1069,4,110515.715
1070,3,154711.39666666667
1070,4,141005.46666666665
1071,3,106378.20833333331
1071,4,98717.75833333336
1072,3,86668.30833333333
1072,4,77211.48833333333
1073,3,195132.31666666668
1073,4,183515.4416666667
1074,3,99737.02500000001
1074,4,97021.24000000002
1075,3,155793.61333333334
1075,4,146977.92999999996
1076,3,65619.41857142858
1076,4,60661.041666666664
1077,3,157626.41500000004
1077,4,143424.38666666666
1078,3,95838.17499999999
1078,4,85253.72166666666
1079,3,147553.00166666668
1079,4,136870.35
1080,3,114638.04928571427
1080,4,110511.39404761908
1081,3,160115.35
1081,4,150833.23333333334
1082,3,96587.98666666666
1082,4,91154.24999999999
1083,3,106364.14333333333
1083,4,99902.88500000002
1084,3,82864.54666666666
1084,4,76378.56499999999
1085,3,90529.94583333333
1085,4,84998.30833333333
1086,3,139470.13333333333
1086,4,126533.60833333334
1087,3,82706.3075
1087,4,78225.46666666666
1088,3,208191.55000000002
1088,4,189990.95
1089,3,132548.8866666667
1089,4,118753.17777777779
1090,3,137080.03333333333
1090,4,148286.1566666667
1091,3,177955.1130952381
1091,4,167678.13
1092,3,110221.24666666667
1092,4,105948.82166666666
1093,3,84944.7017857143
1093,4,78348.60714285714
1094,3,130418.0583333333
1094,4,111668.87333333334
1095,3,125409.81738095242
1095,4,114835.25333333333
1096,3,104184.71666666666
1096,4,97648.07380952383
1097,3,128863.81499999999
1097,4,121716.53333333334
1098,3,67249.87166666666
1098,4,65107.25666666667
1099,3,115778.5888095238
1099,4,108689.03333333334
1100,3,106036.50142857143
1100,4,101683.98999999999
1101,3,64836.396666666675
1101,4,58539.445238095235
1102,3,150649.06428571424
1102,4,135981.81583333333
1103,3,104187.36666666668
1103,4,98658.06666666668
1104,3,114092.3238095238
1104,4,104017.05142857145
1105,3,59826.46166666666
1105,4,56978.090000000004
1106,3,162503.48238095234
1106,4,150500.22047619044
1107,3,213344.99166666664
1107,4,200092.72500000006
1108,3,148780.29166666663
1108,4,144214.59166666665
1109,3,85722.03
1109,4,79796.07
1110,3,155800.83
1110,4,140532.78000000003
1111,3,142445.7083333333
1111,4,137077.8583333333
1112,3,123029.35000000002
1112,4,115947.60333333333
1113,3,97182.83611111109
1113,4,93545.53611111111
1114,3,171676.2666666667
1114,4,135341.05833333335
1115,3,59187.618333333325
1115,4,59672.29166666668
1116,3,100840.82666666666
1116,4,94769.50333333333
1117,3,101355.47666666667
1117,4,89311.39666666667
1118,3,152772.65000000002
1118,4,142499.01904761902
1119,3,95405.305
1119,4,89660.64
1120,3,169004.325
1120,4,153767.71666666665
1121,3,108414.51666666665
1121,4,100451.41666666666
1122,3,88830.29916666666
1122,4,82922.97083333335
1123,3,101672.47238095239
1123,4,96068.58999999998
1124,3,138896.09000000003
1124,4,128413.87333333334
1125,3,91360.59333333332
1125,4,88510.09666666665
1126,3,89459.27761904761
1126,4,87557.36000000002
1127,3,59064.94714285715
1127,4,56907.356666666674
1128,3,159929.24999999997
1128,4,144528.77500000002
1129,3,400278.4666666667
1129,4,458622.76666666666
1130,3,78546.7838095238
1130,4,76412.56452380952
1131,3,131921.30500000002
1131,4,128441.72499999999
1132,3,136124.97999999998
1132,4,116857.84166666667
1133,3,117937.25714285715
1133,4,108664.31333333334
1134,3,106326.08333333333
1134,4,93271.86666666667
1135,3,102065.57166666667
1135,4,94761.14166666668
1136,3,80926.87285714288
1136,4,73232.49666666667
1137,3,109551.35999999997
1137,4,99915.64666666667
1138,3,127540.10000000003
1138,4,118463.99166666667
1139,3,134586.84333333332
1139,4,124945.35666666667
1140,3,94049.4480952381
1140,4,86192.89166666666
1141,3,111650.0407142857
1141,4,102025.78333333334
1142,3,155597.09999999998
1142,4,136095.22499999998
1143,3,68913.195
1143,4,67638.78666666667
1144,3,91713.1016666667
1144,4,80195.91428571429
1145,3,135794.06666666665
1145,4,129001.19999999998
1146,3,92643.90666666666
1146,4,89426.85833333332
1147,3,178714.66166666668
1147,4,157702.23833333334
1148,3,72611.76428571428
1148,4,72091.6719047619
1149,3,80509.12
1149,4,79007.53428571428
1150,3,76270.08166666667
1150,4,71128.59261904762
1151,3,83164.03666666668
1151,4,80753.09714285712
1152,3,169167.965
1152,4,158297.55
1153,3,124226.93333333332
1153,4,110436.38000000002
1154,3,91635.73499999999
1154,4,88370.59999999999
1155,3,136887.2666666667
1155,4,125393.03333333333
1156,3,136472.62
1156,4,131021.20833333334
1157,3,94617.40749999999
1157,4,89285.69904761907
1158,3,152154.51333333334
1158,4,140895.75
1159,3,118041.00166666665
1159,4,115784.33190476192
1160,3,141581.02166666664
1160,4,126208.42000000001
1161,3,75815.80690476189
1161,4,70241.37166666666
1162,3,81927.71833333334
1162,4,79354.05142857143
1163,3,79749.8388095238
1163,4,76561.565
1164,3,94539.43500000003
1164,4,90462.58666666666
1165,3,86418.06333333334
1165,4,85840.69333333334
1166,3,69643.01833333333
1166,4,72541.67952380951
1167,3,89669.29666666668
1167,4,80689.72
1168,3,129824.23666666666
1168,4,123110.35833333332
1169,3,163674.24333333332
1169,4,154508.88333333333
1170,3,170778.10333333336
1170,4,161228.11500000002
1171,3,54188.90666666666
1171,4,51501.92333333334
1172,3,127840.6880952381
1172,4,119407.7633333333
1173,3,108379.41833333335
1173,4,89460.34999999999
1174,3,127333.63666666667
1174,4,126052.30666666664
1175,3,108654.77857142859
1175,4,99329.35333333333
1176,3,155112.72666666668
1176,4,145594.925
1177,3,114167.17333333332
1177,4,111356.98666666663
1178,3,122278.09333333332
1178,4,115311.59333333331
1179,3,90729.365
1179,4,88102.31999999999
1180,3,92957.83523809526
1180,4,85086.56333333334
1181,3,175731.55000000002
1181,4,166006.19166666668
1182,3,78098.59166666667
